iter	RMSE
0	15038.3752
1	14850.23022
2	14652.98575
3	14467.24678
4	14279.65026
5	14098.76338
6	13927.581
7	13760.7446
8	13619.42832
9	13476.77991
10	13328.53061
11	13194.8842
12	13062.68058
13	12939.92045
14	12815.23664
15	12707.10734
16	12591.12685
17	12481.52426
18	12381.65787
19	12282.02335
20	12181.65616
21	12080.3711
22	12002.34085
23	11901.22401
24	11816.4614
25	11737.39137
26	11659.71335
27	11582.80759
28	11508.77273
29	11431.1917
30	11352.62718
31	11277.09378
32	11217.01872
33	11157.21919
34	11097.32077
35	11043.21609
36	10982.25175
37	10923.91125
38	10872.31086
39	10825.32272
40	10773.79459
41	10726.17099
42	10676.62942
43	10639.85856
44	10597.07223
45	10555.06401
46	10513.5542
47	10474.13043
48	10438.21363
49	10403.20487
50	10365.06273
51	10325.92276
52	10289.04092
53	10253.95851
54	10221.79426
55	10187.1007
56	10160.96118
57	10129.49191
58	10097.18416
59	10068.06449
60	10041.15406
61	10018.09267
62	9987.955391
63	9963.36539
64	9942.190794
65	9922.616591
66	9898.202062
67	9871.492085
68	9851.14113
69	9831.191866
70	9812.03152
71	9791.667697
72	9777.458892
73	9763.619778
74	9740.106124
75	9719.647949
76	9702.984934
77	9686.656962
78	9667.222722
79	9650.766891
80	9632.837772
81	9616.521284
82	9599.962195
83	9589.237421
84	9576.27928
85	9562.797415
86	9553.821859
87	9544.820163
88	9530.92119
89	9517.877158
90	9506.146258
91	9492.745511
92	9480.065014
93	9467.716873
94	9458.626942
95	9450.435363
96	9437.039748
97	9422.561582
98	9407.994892
99	9393.416332
100	9379.413317
101	9370.464572
102	9360.000409
103	9349.16765
104	9339.05235
105	9330.479002
106	9324.241774
107	9314.674325
108	9303.547134
109	9296.006879
110	9287.558956
111	9279.700177
112	9271.719651
113	9265.239768
114	9258.77748
115	9252.098769
116	9243.844599
117	9235.494359
118	9229.941861
119	9225.470315
120	9219.509036
121	9212.619814
122	9204.178993
123	9198.163639
124	9189.478021
125	9182.409561
126	9175.243552
127	9167.330496
128	9165.229797
129	9157.920295
130	9152.05695
131	9144.629684
132	9135.190586
133	9129.67988
134	9125.374177
135	9119.303904
136	9114.64061
137	9107.381496
138	9101.61869
139	9096.572693
140	9090.927009
141	9087.019521
142	9079.377189
143	9074.965782
144	9068.960107
145	9064.453977
146	9055.048306
147	9050.897054
148	9043.06475
149	9038.648858
150	9031.415543
151	9026.780135
152	9024.038771
153	9018.591231
154	9013.649719
155	9010.526426
156	9004.837268
157	9001.920667
158	8998.939694
159	8996.009416
160	8992.984441
161	8990.328356
162	8986.080161
163	8982.737126
164	8977.528352
165	8975.541226
166	8970.979755
167	8966.325163
168	8961.798568
169	8959.903987
170	8957.722631
171	8954.011461
172	8948.287947
173	8946.430891
174	8944.35256
175	8941.674854
176	8938.596121
177	8935.701077
178	8932.079926
179	8928.020124
180	8925.497126
181	8921.586391
182	8917.748828
183	8912.41538
184	8909.767544
185	8907.811791
186	8906.071104
187	8904.336796
188	8902.171253
189	8897.146684
190	8894.292933
191	8891.043919
192	8886.229424
193	8883.291636
194	8878.728603
195	8876.200748
196	8872.800832
197	8871.268146
198	8867.610677
199	8865.324608
200	8864.248443
201	8859.465527
202	8857.465608
203	8854.16028
204	8851.369202
205	8849.497887
206	8846.789159
207	8845.003484
208	8841.781924
209	8839.043498
210	8836.224022
211	8832.530507
212	8829.394951
213	8824.923536
214	8821.517503
215	8819.776589
216	8816.559946
217	8814.406544
218	8813.093925
219	8811.355648
220	8807.787983
221	8805.5545
222	8803.707195
223	8801.716197
224	8798.248331
225	8795.561567
226	8791.705911
227	8788.490298
228	8784.993129
229	8782.707128
230	8779.398359
231	8777.833518
232	8774.17899
233	8772.08092
234	8770.880999
235	8770.039643
236	8767.535633
237	8765.332051
238	8762.894525
239	8760.424673
240	8758.318926
241	8757.513455
242	8754.590413
243	8751.868175
244	8748.043819
245	8744.290766
246	8741.973457
247	8738.811601
248	8737.532755
249	8735.875532
250	8734.697241
251	8732.968248
252	8731.091429
253	8727.978861
254	8725.26759
255	8723.329515
256	8720.477433
257	8719.393457
258	8717.808
259	8714.606019
260	8709.83554
261	8706.771296
262	8702.925822
263	8701.678803
264	8699.303236
265	8698.157813
266	8696.24352
267	8694.34696
268	8692.788748
269	8690.629264
270	8690.366441
271	8686.960595
272	8684.2347
273	8681.767177
274	8680.317428
275	8678.688854
276	8675.070781
277	8672.122052
278	8669.115862
279	8668.206209
280	8664.540841
281	8662.572069
282	8659.992765
283	8658.738587
284	8657.086156
285	8654.662772
286	8653.280179
287	8652.337025
288	8651.022506
289	8649.427361
290	8648.068847
291	8646.375969
292	8642.394156
293	8638.831159
294	8636.99131
295	8635.701762
296	8633.550049
297	8632.256994
298	8631.210598
299	8629.960431
300	8627.638609
301	8625.314099
302	8623.63771
303	8620.811873
304	8619.322667
305	8618.250512
306	8616.413686
307	8614.957356
308	8613.279936
309	8611.188981
310	8608.975587
311	8608.215869
312	8606.173044
313	8604.070441
314	8601.06223
315	8600.537743
316	8599.352592
317	8597.296466
318	8594.781327
319	8593.257896
320	8592.440445
321	8590.125433
322	8588.511905
323	8586.642312
324	8583.063873
325	8581.863459
326	8580.600927
327	8579.356378
328	8577.810927
329	8575.341324
330	8573.516512
331	8571.69105
332	8570.048081
333	8568.485092
334	8565.624549
335	8564.245726
336	8561.823997
337	8560.100231
338	8558.016586
339	8556.694671
340	8554.999857
341	8552.608997
342	8549.382854
343	8547.717218
344	8545.25131
345	8543.544716
346	8541.134895
347	8538.462525
348	8537.111359
349	8535.177344
350	8533.731966
351	8531.309073
352	8530.554643
353	8528.865413
354	8525.934245
355	8523.71897
356	8523.017798
357	8521.668017
358	8520.097598
359	8517.970435
360	8516.588885
361	8514.651421
362	8513.363908
363	8510.841825
364	8507.382382
365	8504.907043
366	8503.171439
367	8502.347405
368	8500.705101
