iter	Passed	Remaining
0	0	6358
1	1	6361
2	2	6033
3	3	5788
4	4	5592
5	4	5438
6	5	5328
7	6	5286
8	7	5316
9	8	5328
10	9	5348
11	9	5313
12	10	5293
13	11	5259
14	12	5255
15	12	5236
16	13	5205
17	14	5175
18	15	5159
19	15	5128
20	16	5104
21	17	5086
22	17	5067
23	18	5071
24	19	5043
25	20	5022
26	20	5026
27	21	5008
28	22	4992
29	22	4979
30	23	4978
31	24	4975
32	25	4967
33	25	4957
34	26	4952
35	27	4943
36	28	4932
37	28	4921
38	29	4917
39	30	4910
40	30	4906
41	31	4894
42	32	4884
43	33	4878
44	33	4872
45	34	4871
46	35	4864
47	35	4859
48	36	4868
49	37	4861
50	38	4854
51	38	4850
52	39	4843
53	40	4838
54	41	4838
55	41	4831
56	42	4823
57	43	4817
58	43	4812
59	44	4808
60	45	4801
61	45	4799
62	46	4799
63	47	4792
64	48	4790
65	48	4789
66	49	4785
67	50	4780
68	50	4776
69	51	4772
70	52	4770
71	53	4767
72	53	4757
73	54	4754
74	55	4754
75	55	4751
76	56	4745
77	57	4741
78	57	4736
79	58	4730
80	59	4725
81	59	4720
82	60	4717
83	61	4711
84	61	4704
85	62	4728
86	63	4717
87	64	4707
88	64	4701
89	65	4690
90	66	4684
91	66	4676
92	67	4671
93	68	4665
94	68	4658
95	69	4651
96	69	4643
97	70	4637
98	71	4632
99	71	4626
100	72	4620
101	73	4615
102	73	4608
103	74	4602
104	74	4596
105	75	4589
106	76	4582
107	76	4574
108	77	4567
109	77	4560
110	78	4553
111	79	4546
112	79	4542
113	80	4536
114	81	4533
115	81	4527
116	82	4522
117	82	4517
118	83	4511
119	84	4505
120	84	4500
121	85	4494
122	86	4489
123	86	4484
124	87	4478
125	87	4472
126	88	4468
127	89	4464
128	89	4453
129	90	4447
130	90	4443
131	91	4439
132	92	4434
133	92	4430
134	93	4425
135	93	4421
136	94	4416
137	95	4410
138	95	4405
139	96	4401
140	96	4394
141	97	4389
142	97	4384
143	98	4379
144	99	4375
145	99	4369
146	100	4365
147	100	4359
148	101	4354
149	102	4349
150	102	4343
151	103	4338
152	103	4333
153	104	4329
154	104	4325
155	105	4321
156	106	4316
157	106	4311
158	107	4306
159	107	4303
160	108	4298
161	109	4293
162	109	4289
163	110	4285
164	110	4281
165	111	4277
166	111	4273
167	112	4268
168	113	4264
169	113	4260
170	114	4255
171	114	4251
172	115	4248
173	115	4245
174	116	4240
175	117	4236
176	117	4232
177	118	4228
178	118	4225
179	119	4221
180	120	4218
181	120	4214
182	121	4211
183	121	4208
184	122	4204
185	122	4201
186	123	4197
187	124	4193
188	124	4190
189	125	4187
190	125	4184
191	126	4181
192	127	4178
193	127	4174
194	128	4171
195	128	4167
196	129	4164
197	129	4162
198	130	4158
199	131	4155
200	131	4152
201	132	4149
202	132	4146
203	133	4143
204	133	4140
205	134	4137
206	135	4135
207	135	4132
208	136	4129
209	136	4126
210	137	4123
211	138	4121
212	138	4118
213	139	4116
214	139	4113
215	140	4110
216	140	4108
217	141	4105
218	142	4103
219	142	4100
220	143	4097
221	143	4094
222	144	4092
223	145	4090
224	145	4087
225	146	4085
226	146	4083
227	147	4080
228	147	4078
229	148	4075
230	149	4073
231	149	4071
232	150	4069
233	150	4066
234	151	4063
235	151	4059
236	152	4057
237	153	4055
238	153	4053
239	154	4051
240	154	4049
241	155	4046
242	156	4044
243	156	4043
244	157	4041
245	157	4040
246	158	4038
247	159	4036
248	159	4033
249	160	4031
250	160	4028
251	161	4026
252	161	4024
253	162	4023
254	163	4021
255	163	4018
256	164	4017
257	164	4015
258	165	4013
259	166	4012
260	166	4011
261	167	4009
262	167	4007
263	168	4005
264	169	4003
265	169	4001
266	170	3999
267	170	3999
268	171	3998
269	172	3996
270	172	3992
271	173	3991
272	173	3988
273	174	3987
274	174	3986
275	175	3985
276	176	3983
277	176	3981
278	177	3979
279	177	3976
280	178	3975
281	178	3973
282	179	3971
283	180	3969
284	180	3967
285	181	3965
286	181	3963
287	182	3961
288	183	3960
289	183	3958
290	184	3956
291	184	3954
292	185	3952
293	185	3951
294	186	3949
295	187	3947
296	187	3946
297	188	3944
298	188	3942
299	189	3951
300	190	3955
301	191	3956
302	192	3957
303	192	3957
304	193	3955
305	193	3953
306	194	3951
307	195	3951
308	195	3950
309	196	3950
310	197	3950
311	197	3949
312	198	3948
313	199	3947
314	199	3947
315	200	3945
316	200	3945
317	201	3946
318	202	3945
319	202	3945
320	203	3945
321	204	3945
322	204	3945
323	205	3945
324	206	3947
325	207	3948
326	207	3948
327	208	3950
328	209	3951
329	209	3952
330	210	3952
331	211	3954
332	212	3955
333	212	3956
334	213	3959
335	214	3961
336	215	3962
337	215	3963
338	216	3964
339	217	3964
340	218	3964
341	218	3964
342	219	3965
343	220	3965
344	220	3967
345	221	3968
346	222	3969
347	223	3969
348	223	3969
349	224	3972
350	225	3973
351	226	3974
352	226	3977
353	227	3978
354	228	3980
355	229	3981
356	229	3982
357	230	3982
358	231	3983
359	232	3984
360	232	3985
361	233	3985
362	234	3985
363	234	3986
364	235	3987
365	236	3987
366	236	3987
367	237	3988
368	238	3988
369	239	3989
370	239	3989
371	240	3989
372	241	3988
373	241	3988
374	242	3988
375	243	3988
376	243	3987
377	244	3986
378	245	3986
379	245	3985
380	246	3984
381	247	3983
382	247	3982
383	248	3982
384	248	3981
385	249	3982
386	250	3982
387	251	3981
388	251	3980
389	252	3979
390	252	3978
391	253	3976
392	254	3975
393	254	3974
394	255	3973
395	255	3972
396	256	3971
397	257	3970
398	257	3968
399	258	3969
400	259	3968
401	259	3967
402	260	3965
403	260	3964
404	261	3964
405	262	3963
406	262	3961
407	263	3961
408	264	3959
409	264	3958
410	265	3957
411	265	3956
412	266	3954
413	267	3953
414	267	3952
415	268	3951
416	269	3951
417	269	3950
418	270	3949
419	270	3948
420	271	3947
421	272	3946
422	272	3946
423	273	3944
424	273	3942
425	274	3941
426	275	3939
427	275	3938
428	276	3936
429	276	3934
430	277	3933
431	277	3931
432	278	3930
433	279	3929
434	279	3927
435	280	3926
436	280	3925
437	281	3923
438	282	3922
439	282	3921
440	283	3920
441	283	3918
442	284	3917
443	285	3916
444	285	3914
445	286	3913
446	286	3911
447	287	3910
448	288	3908
449	288	3907
450	289	3906
451	289	3905
452	290	3903
453	291	3902
454	291	3901
455	292	3900
456	292	3898
457	293	3897
458	293	3895
459	294	3894
460	295	3893
461	295	3891
462	296	3890
463	296	3889
464	297	3887
465	298	3886
466	298	3885
467	299	3884
468	299	3882
469	300	3881
470	301	3879
471	301	3878
472	302	3877
473	302	3875
474	303	3874
475	303	3873
476	304	3871
477	305	3870
478	305	3869
479	306	3868
480	306	3867
481	307	3866
482	308	3864
483	308	3863
484	309	3862
485	309	3860
486	310	3859
487	310	3857
488	311	3856
489	312	3855
490	312	3854
491	313	3852
492	313	3851
493	314	3850
494	315	3849
495	315	3848
496	316	3847
497	316	3846
498	317	3844
499	318	3843
500	318	3842
501	319	3841
502	319	3840
503	320	3838
504	321	3837
505	321	3836
506	322	3835
507	322	3834
508	323	3832
509	323	3831
510	324	3829
511	325	3828
512	325	3827
513	326	3826
514	326	3825
515	327	3824
516	328	3823
517	328	3821
518	329	3820
519	329	3819
520	330	3817
521	330	3816
522	331	3815
523	332	3813
524	332	3813
525	333	3811
526	333	3810
527	334	3809
528	335	3808
529	335	3807
530	336	3806
531	336	3805
532	337	3803
533	337	3802
534	338	3801
535	339	3800
536	339	3799
537	340	3797
538	340	3796
539	341	3795
540	342	3794
541	342	3793
542	343	3791
543	343	3790
544	344	3789
545	345	3788
546	345	3787
547	346	3786
548	346	3785
549	347	3784
550	347	3783
551	348	3782
552	349	3781
553	349	3780
554	350	3779
555	350	3778
556	351	3777
557	352	3776
558	352	3775
559	353	3773
560	353	3772
561	354	3771
562	355	3770
563	355	3769
564	356	3768
565	356	3767
566	357	3766
567	357	3764
568	358	3763
569	359	3762
570	359	3761
571	360	3760
572	360	3760
573	361	3759
574	362	3758
575	362	3757
576	363	3756
577	363	3754
578	364	3754
579	365	3752
580	365	3752
581	366	3750
582	366	3749
583	367	3748
584	368	3747
585	368	3746
586	369	3745
587	369	3744
588	370	3743
589	371	3742
590	371	3741
591	372	3740
592	372	3739
593	373	3738
594	373	3737
595	374	3736
596	375	3735
597	375	3734
598	376	3734
599	376	3733
600	378	3737
601	378	3738
602	379	3738
603	380	3738
604	380	3737
605	381	3736
606	382	3735
607	382	3734
608	383	3733
609	383	3733
610	384	3732
611	385	3732
612	385	3731
613	386	3730
614	387	3730
615	387	3730
616	388	3729
617	388	3728
618	389	3727
619	390	3727
620	390	3726
621	391	3725
622	392	3725
623	392	3724
624	393	3724
625	394	3724
626	394	3723
627	395	3723
628	396	3723
629	396	3723
630	397	3722
631	398	3722
632	398	3722
633	399	3722
634	400	3722
635	400	3722
636	401	3721
637	402	3720
638	403	3723
639	403	3723
640	404	3722
641	405	3722
642	405	3722
643	406	3726
644	407	3729
645	408	3729
646	409	3729
647	410	3729
648	410	3729
649	411	3729
650	412	3729
651	412	3728
652	413	3728
653	414	3728
654	414	3728
655	415	3728
656	416	3727
657	416	3727
658	417	3727
659	418	3727
660	418	3727
661	419	3726
662	420	3726
663	420	3726
664	421	3725
665	422	3725
666	422	3725
667	423	3725
668	424	3724
669	424	3724
670	425	3724
671	426	3723
672	426	3723
673	427	3722
674	428	3722
675	428	3721
676	429	3721
677	430	3720
678	430	3719
679	431	3719
680	432	3718
681	432	3717
682	433	3717
683	434	3716
684	434	3716
685	435	3715
686	435	3714
687	436	3714
688	437	3713
689	437	3712
690	438	3711
691	438	3711
692	439	3710
693	440	3709
694	440	3708
695	441	3708
696	442	3707
697	442	3706
698	443	3705
699	443	3704
700	444	3704
701	445	3703
702	445	3702
703	446	3701
704	447	3701
705	447	3700
706	448	3699
707	448	3698
708	449	3697
709	449	3695
710	450	3695
711	451	3694
712	451	3693
713	452	3692
714	453	3692
715	453	3691
716	454	3690
717	454	3689
718	455	3688
719	456	3687
720	456	3686
721	457	3685
722	457	3684
723	458	3683
724	459	3682
725	459	3681
726	460	3680
727	460	3680
728	461	3679
729	461	3678
730	462	3677
731	463	3676
732	463	3675
733	464	3674
734	464	3673
735	465	3671
736	466	3670
737	466	3669
738	467	3668
739	467	3668
740	468	3667
741	469	3666
742	469	3665
743	470	3664
744	470	3663
745	471	3662
746	472	3661
747	472	3660
748	473	3659
749	473	3659
750	474	3657
751	474	3656
752	475	3655
753	476	3655
754	476	3654
755	477	3653
756	477	3652
757	478	3651
758	479	3650
759	479	3649
760	480	3648
761	480	3647
762	481	3646
763	482	3645
764	482	3644
765	483	3643
766	483	3642
767	484	3641
768	485	3640
769	485	3640
770	486	3639
771	486	3638
772	487	3637
773	488	3636
774	488	3635
775	489	3635
776	489	3634
777	490	3633
778	490	3632
779	491	3631
780	492	3630
781	492	3629
782	493	3628
783	493	3627
784	494	3626
785	495	3625
786	495	3624
787	496	3623
788	496	3622
789	497	3622
790	498	3621
791	498	3620
792	499	3619
793	499	3618
794	500	3617
795	501	3617
796	501	3615
797	502	3615
798	502	3614
799	503	3613
800	504	3612
801	504	3611
802	505	3611
803	505	3610
804	506	3610
805	507	3609
806	507	3608
807	508	3607
808	509	3607
809	509	3606
810	510	3605
811	510	3604
812	511	3603
813	511	3602
814	512	3602
815	513	3601
816	513	3600
817	514	3599
818	514	3598
819	515	3597
820	516	3597
821	516	3596
822	517	3595
823	518	3594
824	518	3594
825	519	3593
826	519	3592
827	520	3591
828	521	3590
829	521	3589
830	522	3588
831	522	3588
832	523	3587
833	524	3586
834	524	3585
835	525	3584
836	525	3583
837	526	3583
838	526	3582
839	527	3581
840	528	3580
841	528	3579
842	529	3578
843	529	3577
844	530	3577
845	531	3576
846	531	3575
847	532	3574
848	532	3574
849	533	3573
850	534	3572
851	534	3571
852	535	3570
853	535	3569
854	536	3568
855	537	3567
856	537	3566
857	538	3565
858	538	3565
859	539	3563
860	539	3562
861	540	3562
862	541	3561
863	541	3560
864	542	3559
865	542	3558
866	543	3557
867	544	3556
868	544	3555
869	545	3554
870	545	3553
871	546	3552
872	546	3551
873	547	3550
874	548	3549
875	548	3548
876	549	3547
877	549	3546
878	550	3546
879	551	3545
880	551	3544
881	552	3543
882	552	3542
883	553	3541
884	553	3540
885	554	3539
886	555	3538
887	555	3537
888	556	3536
889	556	3535
890	557	3534
891	557	3533
892	558	3532
893	558	3531
894	559	3530
895	560	3529
896	560	3528
897	561	3527
898	561	3526
899	562	3525
900	562	3524
901	563	3523
902	564	3522
903	564	3521
904	565	3520
905	566	3523
906	567	3522
907	567	3524
908	568	3524
909	569	3523
910	569	3523
911	570	3522
912	571	3522
913	571	3521
914	572	3521
915	573	3520
916	573	3519
917	574	3519
918	575	3518
919	575	3518
920	576	3517
921	576	3516
922	577	3515
923	578	3515
924	578	3514
925	579	3513
926	580	3513
927	580	3512
928	581	3512
929	581	3511
930	582	3511
931	583	3510
932	583	3510
933	584	3510
934	585	3510
935	586	3510
936	586	3511
937	587	3511
938	588	3511
939	589	3511
940	589	3510
941	590	3510
942	591	3509
943	591	3509
944	592	3508
945	593	3508
946	593	3507
947	594	3507
948	595	3506
949	595	3506
950	596	3506
951	597	3506
952	597	3506
953	598	3505
954	599	3505
955	599	3505
956	600	3504
957	601	3504
958	601	3504
959	602	3504
960	603	3504
961	604	3504
962	604	3504
963	605	3505
964	606	3506
965	607	3506
966	608	3507
967	609	3507
968	609	3507
969	610	3507
970	611	3507
971	612	3507
972	612	3506
973	613	3506
974	614	3506
975	614	3505
976	615	3505
977	616	3505
978	616	3505
979	617	3504
980	618	3504
981	618	3504
982	619	3504
983	620	3503
984	621	3503
985	621	3503
986	622	3502
987	623	3502
988	623	3502
989	624	3501
990	625	3501
991	625	3501
992	626	3500
993	627	3500
994	627	3499
995	628	3498
996	629	3498
997	629	3498
998	630	3497
999	631	3497
1000	631	3496
1001	632	3496
1002	632	3495
1003	633	3495
1004	634	3494
1005	634	3493
1006	635	3493
1007	636	3492
1008	636	3492
1009	637	3491
1010	638	3490
1011	638	3490
1012	639	3490
1013	640	3489
1014	640	3488
1015	641	3488
1016	641	3487
1017	642	3487
1018	643	3486
1019	643	3485
1020	644	3485
1021	645	3484
1022	645	3484
1023	646	3483
1024	647	3483
1025	647	3482
1026	648	3482
1027	649	3481
1028	649	3480
1029	650	3479
1030	650	3479
1031	651	3478
1032	652	3477
1033	652	3477
1034	653	3476
1035	653	3475
1036	654	3474
1037	655	3474
1038	655	3473
1039	656	3472
1040	657	3471
1041	657	3470
1042	658	3470
1043	658	3469
1044	659	3468
1045	659	3467
1046	660	3466
1047	661	3465
1048	661	3465
1049	662	3464
1050	662	3463
1051	663	3462
1052	664	3461
1053	664	3461
1054	665	3460
1055	665	3459
1056	666	3458
1057	667	3457
1058	667	3457
1059	668	3456
1060	668	3455
1061	669	3454
1062	670	3453
1063	670	3453
1064	671	3452
1065	671	3451
1066	672	3450
1067	673	3449
1068	673	3449
1069	674	3448
1070	674	3447
1071	675	3446
1072	676	3446
1073	676	3445
1074	677	3444
1075	677	3443
1076	678	3443
1077	679	3442
1078	679	3441
1079	680	3440
1080	680	3440
1081	681	3439
1082	682	3438
1083	682	3437
1084	683	3436
1085	683	3436
1086	684	3435
1087	685	3434
1088	685	3434
1089	686	3433
1090	687	3432
1091	687	3431
1092	688	3431
1093	688	3430
1094	689	3429
1095	690	3429
1096	690	3428
1097	691	3427
1098	691	3426
1099	692	3426
1100	693	3425
1101	693	3423
1102	694	3422
1103	694	3422
1104	695	3421
1105	695	3420
1106	696	3419
1107	697	3419
1108	697	3418
1109	698	3417
1110	698	3416
1111	699	3416
1112	700	3415
1113	700	3414
1114	701	3414
1115	702	3413
1116	702	3412
1117	703	3412
1118	703	3411
1119	704	3410
1120	705	3409
1121	705	3409
1122	706	3408
1123	706	3407
1124	707	3406
1125	708	3405
1126	708	3405
1127	709	3404
1128	709	3403
1129	710	3403
1130	711	3402
1131	711	3401
1132	712	3400
1133	712	3400
1134	713	3399
1135	714	3398
1136	714	3398
1137	715	3397
1138	716	3396
1139	716	3395
1140	717	3395
1141	717	3394
1142	718	3393
1143	719	3393
1144	719	3392
1145	720	3391
1146	720	3390
1147	721	3390
1148	722	3389
1149	722	3388
1150	723	3387
1151	723	3387
1152	724	3386
1153	725	3385
1154	725	3385
1155	726	3384
1156	726	3383
1157	727	3382
1158	728	3381
1159	728	3380
1160	729	3380
1161	729	3379
1162	730	3378
1163	731	3377
1164	731	3377
1165	732	3376
1166	732	3375
1167	733	3375
1168	734	3374
1169	734	3373
1170	735	3372
1171	736	3372
1172	736	3371
1173	737	3371
1174	737	3370
1175	738	3369
1176	739	3368
1177	739	3368
1178	740	3367
1179	740	3366
1180	741	3365
1181	742	3365
1182	742	3364
1183	743	3363
1184	743	3362
1185	744	3362
1186	745	3361
1187	745	3360
1188	746	3359
1189	746	3359
1190	747	3358
1191	748	3358
1192	748	3357
1193	749	3356
1194	750	3356
1195	750	3355
1196	751	3354
1197	751	3354
1198	752	3353
1199	753	3352
1200	754	3355
1201	755	3355
1202	756	3355
1203	756	3355
1204	757	3355
1205	758	3354
1206	758	3354
1207	759	3353
1208	760	3353
1209	760	3352
1210	761	3352
1211	762	3351
1212	762	3350
1213	763	3350
1214	764	3349
1215	764	3349
1216	765	3348
1217	766	3348
1218	766	3348
1219	767	3347
1220	768	3347
1221	768	3346
1222	769	3346
1223	770	3345
1224	770	3345
1225	771	3345
1226	772	3344
1227	772	3344
1228	773	3344
1229	774	3344
1230	775	3344
1231	775	3344
1232	776	3343
1233	777	3343
1234	777	3342
1235	778	3342
1236	779	3341
1237	779	3341
1238	780	3341
1239	781	3340
1240	782	3340
1241	782	3339
1242	783	3339
1243	784	3339
1244	784	3338
1245	785	3338
1246	786	3337
1247	786	3337
1248	787	3336
1249	787	3336
1250	788	3335
1251	789	3335
1252	789	3334
1253	790	3333
1254	791	3333
1255	791	3332
1256	792	3331
1257	793	3331
1258	793	3330
1259	794	3329
1260	794	3329
1261	795	3328
1262	796	3327
1263	796	3326
1264	797	3326
1265	798	3325
1266	798	3325
1267	799	3324
1268	799	3323
1269	800	3323
1270	801	3322
1271	801	3321
1272	802	3321
1273	803	3320
1274	803	3319
1275	804	3319
1276	804	3318
1277	805	3317
1278	806	3317
1279	806	3316
1280	807	3316
1281	808	3315
1282	808	3314
1283	809	3314
1284	809	3313
1285	810	3312
1286	811	3312
1287	811	3311
1288	812	3310
1289	813	3310
1290	813	3309
1291	814	3308
1292	814	3307
1293	815	3307
1294	816	3306
1295	816	3305
1296	817	3304
1297	817	3304
1298	818	3303
1299	819	3302
1300	819	3301
1301	820	3301
1302	820	3300
1303	821	3299
1304	822	3299
1305	822	3298
1306	823	3297
1307	823	3296
1308	824	3295
1309	825	3295
1310	825	3294
1311	826	3293
1312	826	3293
1313	827	3292
1314	828	3292
1315	828	3291
1316	829	3290
1317	830	3289
1318	830	3289
1319	831	3288
1320	831	3287
1321	832	3287
1322	833	3286
1323	833	3286
1324	834	3285
1325	834	3284
1326	835	3283
1327	836	3283
1328	836	3282
1329	837	3281
1330	838	3280
1331	838	3280
1332	839	3279
1333	839	3278
1334	840	3278
1335	841	3277
1336	841	3276
1337	842	3276
1338	842	3274
1339	843	3274
1340	844	3273
1341	844	3272
1342	845	3272
1343	845	3271
1344	846	3270
1345	847	3270
1346	847	3269
1347	848	3268
1348	848	3267
1349	849	3267
1350	850	3266
1351	850	3266
1352	851	3265
1353	852	3264
1354	852	3264
1355	853	3263
1356	853	3262
1357	854	3261
1358	855	3261
1359	855	3260
1360	856	3259
1361	856	3258
1362	857	3258
1363	858	3257
1364	858	3256
1365	859	3256
1366	859	3255
1367	860	3254
1368	861	3253
1369	861	3252
1370	862	3252
1371	862	3251
1372	863	3250
1373	864	3250
1374	864	3249
1375	865	3248
1376	865	3247
1377	866	3246
1378	867	3246
1379	867	3245
1380	868	3244
1381	868	3244
1382	869	3243
1383	870	3242
1384	870	3242
1385	871	3241
1386	872	3240
1387	872	3240
1388	873	3239
1389	873	3238
1390	874	3238
1391	875	3237
1392	875	3237
1393	876	3236
1394	877	3235
1395	877	3235
1396	878	3234
1397	878	3233
1398	879	3233
1399	880	3232
1400	880	3231
1401	881	3231
1402	881	3230
1403	882	3229
1404	883	3229
1405	883	3228
1406	884	3227
1407	885	3227
1408	885	3226
1409	886	3225
1410	886	3225
1411	887	3224
1412	888	3223
1413	888	3222
1414	889	3222
1415	889	3221
1416	890	3220
1417	891	3219
1418	891	3219
1419	892	3218
1420	892	3217
1421	893	3217
1422	894	3216
1423	894	3215
1424	895	3215
1425	896	3214
1426	896	3213
1427	897	3213
1428	897	3212
1429	898	3212
1430	899	3211
1431	899	3210
1432	900	3209
1433	900	3209
